tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,payment_label,fare_amount,tip_amount,total_amount,trip_duration_mins,revenue_per_mile,tip_pct,pickup_hour,pickup_dow,pickup_day,pickup_month,year,is_weekend,is_airport_trip,fare_category,VendorID,RatecodeID,extra,mta_tax,tolls_amount,improvement_surcharge,congestion_surcharge
2024-01-10 10:40:34,2024-01-10 10:43:15,1.0,0.32,161,161,1,Credit Card,4.4,2.1,10.5,2.68,32.81,47.7,10,2,Wednesday,1,2024,False,0,Short,2,1.0,0.0,0.5,0.0,1.0,2.5
2024-01-05 19:03:33,2024-01-05 19:22:39,2.0,2.3,90,237,1,Credit Card,17.7,4.8,29.0,19.1,12.61,27.1,19,4,Friday,1,2024,False,0,Medium,1,1.0,5.0,0.5,0.0,1.0,2.5
2024-01-25 21:19:58,2024-01-25 21:26:06,1.0,1.4,140,262,1,Credit Card,8.6,2.0,15.6,6.13,11.14,23.3,21,3,Thursday,1,2024,False,0,Short,2,1.0,1.0,0.5,0.0,1.0,2.5
2024-01-31 15:38:07,2024-01-31 15:44:45,1.0,0.52,140,262,2,Cash,7.2,0.0,11.2,6.63,21.54,0.0,15,2,Wednesday,1,2024,False,0,Short,2,1.0,0.0,0.5,0.0,1.0,2.5
2024-01-05 13:35:19,2024-01-05 13:45:47,1.0,0.98,68,230,1,Credit Card,10.7,2.94,17.64,10.47,18.0,27.5,13,4,Friday,1,2024,False,0,Short,2,1.0,0.0,0.5,0.0,1.0,2.5
2024-01-23 11:02:12,2024-01-23 11:26:33,1.0,2.13,79,170,1,Credit Card,20.5,4.9,29.4,24.35,13.8,23.9,11,1,Tuesday,1,2024,False,0,Medium,2,1.0,0.0,0.5,0.0,1.0,2.5
2024-01-17 10:46:37,2024-01-17 10:58:43,1.0,1.11,113,113,1,Credit Card,11.4,4.62,20.02,12.1,18.04,40.5,10,2,Wednesday,1,2024,False,0,Short,2,1.0,0.0,0.5,0.0,1.0,2.5
2024-01-14 12:52:10,2024-01-14 13:22:05,1.0,18.2,132,263,1,Credit Card,70.0,0.0,82.69,29.92,4.54,0.0,12,6,Sunday,1,2024,True,1,Long,2,2.0,0.0,0.5,6.94,1.0,2.5
2024-01-06 19:20:07,2024-01-06 19:52:43,1.0,10.48,138,125,1,Credit Card,47.1,7.0,64.85,32.6,6.19,14.9,19,5,Saturday,1,2024,True,0,Long,2,1.0,5.0,0.5,0.0,1.0,2.5
2024-01-05 16:38:32,2024-01-05 16:44:15,1.0,0.9,249,231,1,Credit Card,7.2,3.0,16.7,5.72,18.56,41.7,16,4,Friday,1,2024,False,0,Short,1,1.0,5.0,0.5,0.0,1.0,2.5
